"","date","session","location","room","time","title","link"
"1","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","7:55AM","Welcoming Remarks","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/41661"
"2","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","8:00AM","Capitalizing on Social Media; Breaking News and Changing Minds As a Government Agency","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/37014"
"3","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","8:20AM","Pole of Inaccessibility: Bringing Ocean Sciences to North America’s Great Interior","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/37725"
"4","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","8:40AM","Sharing the Shore: Protecting the “Wild” in West Coast Wildlife","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39233"
"5","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","9:00AM","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39031"
"6","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","9:20AM","Harnessing the Power of Art to Advance Federal Fisheries Management: An Interdisciplinary Experiment","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39967"
"7","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","09:40AM","Break",""
"8","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","1:10PM","Communicating Science and Engaging with Alaska Communities","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39001"
"9","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","1:30PM","The Ecology of the Internet: Lessons Learned for Science Communicators from a Career in Journalism","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38591"
"10","September 30, 2019","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Atlantis"," Grand Ballroom 5","1:50PM","Communicating Marine Policy in an Era of Climate Change","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38863"
